,Femme,Homme,Age1,Age2,Age3,Age4,Age5,Age6
11novembre,2,0,0,1,0,0,0,1
11pm,0,1,0,0,0,0,0,1
11secondes,0,1,0,0,0,0,0,1
11à,1,0,1,0,0,0,0,0
12,124,30,29,24,16,35,9,41
120,5,2,3,1,1,1,0,1
1200,2,1,1,0,0,0,0,2
1200m,0,1,0,0,0,0,1,0
121,3,0,3,0,0,0,0,0
122449,0,1,1,0,0,0,0,0
123,2,0,0,0,0,1,0,1
1238,0,1,1,0,0,0,0,0
123e,2,0,0,0,0,0,0,2
125,2,1,0,1,1,0,0,1
126,2,0,0,0,0,1,0,1
129,1,0,0,0,0,0,0,1
12ans,1,0,1,0,0,0,0,0
12euros,1,0,0,0,0,1,0,0
12h,56,25,20,15,13,7,19,7
12h00,0,2,0,0,0,0,1,1
12h04,2,0,0,0,0,2,0,0
12h05,1,0,0,1,0,0,0,0
12h06,1,0,0,0,0,1,0,0
12h09,0,1,0,0,0,0,0,1
12h10,1,0,0,1,0,0,0,0
12h15,10,4,1,3,1,5,4,0
12h19,0,3,0,3,0,0,0,0
12h20,1,0,0,0,0,0,0,1
12h23,1,0,1,0,0,0,0,0
12h30,32,14,8,12,5,5,4,12
12h40,3,0,1,0,0,0,1,1
12h45,12,4,1,1,3,5,5,1
12h45à14h15,1,0,0,0,0,1,0,0
12h50,1,0,0,1,0,0,0,0
12h55,6,0,0,6,0,0,0,0
12h58,1,0,0,1,0,0,0,0
12he,1,0,0,0,0,0,0,1
12heure30,0,1,1,0,0,0,0,0
12heures,1,0,0,1,0,0,0,0
12livres,1,0,0,1,0,0,0,0
12min,1,0,1,0,0,0,0,0
12oct,1,0,0,0,0,0,1,0
12sec,1,0,0,1,0,0,0,0
13,75,25,22,20,14,6,12,26
130,4,0,0,2,0,2,0,0
1300,2,0,0,2,0,0,0,0
1300e,1,0,0,0,0,0,1,0
1303,1,0,0,0,0,1,0,0
130e,1,0,0,0,0,1,0,0
130k,0,1,0,0,0,0,0,1
132,1,0,1,0,0,0,0,0
1320,0,1,1,0,0,0,0,0
134,0,1,1,0,0,0,0,0
135,0,1,0,0,0,0,1,0
136,1,0,0,0,0,0,0,1
1365e,1,0,0,0,0,0,1,0
138,1,0,0,0,0,1,0,0
139,1,0,0,0,0,1,0,0
13décembre,1,0,0,0,0,0,1,0
13e,1,2,0,0,0,0,2,1
13eme,1,0,0,1,0,0,0,0
13eur,1,0,1,0,0,0,0,0
13h,55,37,15,9,20,7,16,25
13h06,1,0,0,0,1,0,0,0
13h13,1,0,0,0,0,1,0,0
13h15,16,2,2,1,2,6,4,3
13h20,3,1,1,0,1,0,2,0
13h25,0,1,0,0,1,0,0,0
13h30,26,6,6,5,1,7,7,6
13h35,1,0,0,0,0,0,1,0
13h40,1,0,0,0,0,0,0,1
13h45,6,1,0,1,3,0,1,2
13h46,0,1,0,0,0,0,0,1
13h50,2,0,1,0,0,0,0,1
13h55,0,1,1,0,0,0,0,0
13heure,3,0,0,0,0,3,0,0
13heures,1,0,0,1,0,0,0,0
13janvier,1,0,0,0,0,1,0,0
13vents,0,1,0,0,0,0,0,1
13x13,0,1,1,0,0,0,0,0
14,84,28,19,19,13,17,21,23
140,2,0,0,0,0,0,0,2
1400,1,0,0,0,0,0,0,1
140e,3,0,0,0,0,3,0,0
140euros,2,0,0,0,0,1,1,0
142,1,1,1,0,0,0,1,0
142857,0,5,5,0,0,0,0,0
145,1,0,0,0,0,0,1,0
145em,1,0,0,0,0,0,1,0
146eme,1,0,0,0,0,0,1,0
147000e,1,0,0,0,1,0,0,0
149,2,0,0,0,0,1,0,1
14amis,1,0,0,0,0,0,0,1
14e,1,0,0,0,0,0,1,0
14fauuuuutes,1,0,0,1,0,0,0,0
14h,80,23,12,18,16,22,19,16
14h03,1,0,0,1,0,0,0,0
14h10,1,1,1,0,0,0,0,1
14h15,15,3,0,0,2,8,3,5
14h20,0,1,1,0,0,0,0,0
14h25,1,0,0,0,1,0,0,0
14h30,32,13,6,6,6,7,11,9
14h35,1,0,0,1,0,0,0,0
14h40,1,0,0,0,0,1,0,0
14h45,4,2,1,0,1,0,3,1
14h50,1,0,0,1,0,0,0,0
14h52,1,0,0,1,0,0,0,0
14h55,2,0,2,0,0,0,0,0
14heure,1,0,0,1,0,0,0,0
14min,1,0,0,1,0,0,0,0
15,193,68,62,47,22,42,38,50
150,9,1,1,3,3,2,1,0
1500,7,2,0,3,0,0,1,5
15000,1,0,0,0,0,0,0,1
1500couleurs,1,0,0,1,0,0,0,0
1500hab,1,0,0,0,1,0,0,0
150e,1,0,0,0,0,1,0,0
150euros,2,0,0,0,0,2,0,0
150km,0,1,0,0,0,0,1,0
156,1,0,0,0,0,0,1,0
1567,0,1,0,0,0,0,0,1
159,1,0,0,0,0,0,0,1
15ans,0,2,0,0,2,0,0,0
15dossiers,0,1,0,0,0,0,0,1
15e,4,0,0,0,1,1,1,1
15ensemble,1,0,1,0,0,0,0,0
15h,72,34,20,11,20,18,24,13
15h00,0,1,1,0,0,0,0,0
15h15,10,1,0,1,2,5,2,1
15h17,0,1,0,1,0,0,0,0
15h20,1,0,0,0,0,0,1,0
15h20h30,1,0,0,0,0,0,1,0
15h22h15,1,0,0,0,0,0,1,0
15h30,16,16,11,3,6,4,0,8
15h30h,1,0,0,0,0,0,0,1
15h34,2,0,0,2,0,0,0,0
15h35,5,0,0,5,0,0,0,0
15h40,1,0,1,0,0,0,0,0
15h45,11,1,0,2,0,9,1,0
15h49,1,0,0,0,1,0,0,0
15h53,2,0,0,0,2,0,0,0
15h55,2,0,1,1,0,0,0,0
15heure,1,1,1,0,0,1,0,0
15hà,1,0,0,0,0,1,0,0
15ii30,1,0,1,0,0,0,0,0
15j,3,0,0,1,0,1,1,0
15jour,1,0,1,0,0,0,0,0
15jours,2,0,1,0,0,1,0,0
15jrs,4,0,0,0,2,2,0,0
15kg,1,1,1,0,0,0,0,1
15m,1,0,1,0,0,0,0,0
15min,25,5,6,4,2,9,5,4
15minutes,1,1,0,1,0,0,1,0
15mn,9,0,1,0,0,0,7,1
15p,1,0,0,0,1,0,0,0
15pages,1,0,0,0,0,0,1,0
15personnes,1,0,0,0,0,0,1,0
15sec,0,1,1,0,0,0,0,0
16,80,14,15,14,10,16,10,29
160,2,3,0,0,1,1,3,0
161000,0,1,0,0,0,0,1,0
1645,0,1,0,0,0,0,0,1
167,2,0,1,0,0,1,0,0
168,1,0,1,0,0,0,0,0
16ans,2,0,2,0,0,0,0,0
16e,1,0,0,0,0,0,1,0
16h,91,27,17,18,14,28,19,22
16h00,0,2,0,0,0,0,0,2
16h03,1,0,0,1,0,0,0,0
16h05,1,4,0,1,4,0,0,0
16h1,1,0,0,0,0,1,0,0
16h10,1,0,0,0,0,0,0,1
16h11,1,0,0,1,0,0,0,0
16h15,6,7,3,2,1,4,2,1
16h20,3,1,0,0,0,2,0,2
16h30,35,11,4,11,6,12,8,5
16h30min,1,0,0,0,1,0,0,0
16h34,1,0,0,1,0,0,0,0
16h35,5,0,0,5,0,0,0,0
16h40,0,3,3,0,0,0,0,0
16h45,10,3,1,2,0,3,4,3
16h50,3,1,1,2,0,0,1,0
16h55,1,0,0,0,0,0,0,1
