AGE;ID_NUM_TEL;SEXE;NIVEAU_SUPERIEUR_CHOIX;TYPE_TELEPHONE;ABONNEMENT_ILLIMITE;TEMPS_UTILISATION_SMS;ENVOI_SMS_SEMAINE;UTILISATION_T9;DESTINATAIRE_AMIS;DESTINATAIRE_COLLEGUES;DESTINATAIRE_FAMILLE;DESTINATAIRE_COMPAGNON;DUREE_LECTURE
22;176;Homme;bac_3;classique;oui;3 a 5;20 a 50;oui;5;4;3;6;3,14
21;255;Femme;bac_3;iphone;oui;plus de 5;50 a 100;oui;5;0;4;6;2,10
21;429;Femme;bac_3;blackberry;oui;plus de 5;20 a 50;non;5;0;4;6;6,29
47;62;Femme;bac_3;iphone;oui;3 a 5;20 a 50;non;4;2;5;6;3,14
20;367;Femme;bac_3;iphone;oui;plus de 5;20 a 50;non;6;4;2;0;3,14
21;134;Femme;bac_3;classique;oui;plus de 5;20 a 50;oui;6;5;3;4;4,19
23;473;Femme;bac_3;blackberry;oui;plus de 5;50 a 100;oui;5;1;2;0;8,38
55;346;Femme;bac_3;iphone;non;plus de 5;10 a 20;non;5;1;6;0;3,14
24;422;Homme;bac_4;iphone;oui;plus de 5;plus de 100;oui;5;0;1;6;9,43
54;450;Femme;bac_4;classique;non;plus de 5;moins de 5;non;2;4;0;0;8,38
21;156;Femme;bac_4;classique;oui;plus de 5;plus de 100;oui;5;0;3;6;2,10
22;107;Femme;bac_4;classique;oui;plus de 5;50 a 100;oui;6;3;5;0;6,29
26;115;Femme;bac_4;blackberry;oui;plus de 5;50 a 100;non;6;2;1;4;3,14
22;323;Femme;bac_4;blackberry;oui;plus de 5;10 a 20;non;5;1;3;6;3,14
37;344;Homme;bac_4;classique;non;plus de 5;moins de 5;non;6;5;4;0;5,24
20;182;Femme;bac_4;classique;oui;3 a 5;10 a 20;non;6;2;3;0;2,10
41;80;Femme;bac_4;iphone;oui;3 a 5;20 a 50;oui;6;4;6;5;4,19
23;118;Femme;bac_4;classique;oui;plus de 5;plus de 100;non;5;3;5;6;4,19
25;6;Homme;bac_4;iphone;oui;plus de 5;20 a 50;non;6;0;2;4;2,10
39;397;Femme;bac_4;blackberry;oui;plus de 5;20 a 50;oui;6;1;3;6;1,05
34;95;Femme;bac_4;iphone;oui;plus de 5;5 a 10;oui;4;4;5;0;4,19
25;140;Homme;bac_4;classique;oui;plus de 5;10 a 20;non;6;2;3;0;3,14
28;137;Homme;bac_4;iphone;oui;plus de 5;plus de 100;non;6;2;5;6;3,14
65;109;Homme;bac_4;iphone;non;plus de 5;moins de 5;oui;2;5;6;0;2,10
31;213;Homme;bac_4;iphone;non;plus de 5;5 a 10;non;5;4;3;6;0,00
23;22;Homme;bac_4;iphone;oui;plus de 5;20 a 50;oui;5;0;4;6;6,29
28;55;Homme;bac_4;blackberry;oui;plus de 5;10 a 20;oui;4;0;1;3;6,29
30;87;Homme;bac_4;iphone;oui;plus de 5;20 a 50;oui;4;2;2;5;3,14
22;224;Femme;bac_4;classique;oui;plus de 5;plus de 100;oui;5;2;6;4;3,14
32;147;Homme;bac_4;iphone;non;plus de 5;10 a 20;oui;6;1;1;0;4,19
27;263;Homme;bac_4;iphone;oui;plus de 5;10 a 20;non;5;2;4;6;3,14
21;476;Homme;bac_4;iphone;oui;plus de 5;20 a 50;non;0;2;3;0;3,14
27;459;Femme;bac_4;classique;oui;plus de 5;10 a 20;non;5;0;4;6;1,05
37;308;Homme;bac_4;iphone;oui;3 a 5;10 a 20;oui;6;3;1;1;0,00
21;124;Femme;bac_4;classique;oui;3 a 5;50 a 100;non;6;0;1;0;2,10
23;305;Femme;bac_4;classique;oui;plus de 5;20 a 50;oui;6;3;3;5;2,10
30;424;Femme;bac_4;classique;non;plus de 5;5 a 10;non;2;3;5;6;2,10
21;128;Femme;bac_4;iphone;oui;plus de 5;50 a 100;oui;6;2;1;6;1,05
21;219;Femme;bac_4;iphone;oui;plus de 5;50 a 100;oui;6;2;1;0;2,10
21;153;Femme;bac_4;blackberry;oui;plus de 5;plus de 100;oui;5;2;2;6;2,10
23;64;Femme;bac_4;blackberry;oui;plus de 5;5 a 10;non;6;1;1;6;2,10
21;86;Femme;bac_4;iphone;oui;plus de 5;50 a 100;non;6;1;3;0;4,19
27;121;Femme;bac_4;iphone;oui;plus de 5;5 a 10;oui;6;0;4;5;3,14
43;423;Femme;bac_4;classique;non;moins de 1;moins de 5;non;2;0;0;6;5,24
30;462;Femme;bac_5;iphone;oui;plus de 5;5 a 10;oui;6;0;5;0;3,14
21;398;Homme;bac_5;iphone;oui;plus de 5;50 a 100;non;6;4;4;6;3,14
24;123;Homme;bac_5;classique;oui;plus de 5;20 a 50;non;6;3;4;0;3,14
29;287;Femme;bac_5;classique;oui;plus de 5;10 a 20;non;5;0;4;6;4,19
23;241;Femme;bac_5;iphone;oui;plus de 5;50 a 100;oui;6;0;3;6;3,14
26;138;Femme;bac_5;iphone;non;plus de 5;5 a 10;non;6;0;5;0;3,14
24;189;Homme;bac_5;iphone;oui;plus de 5;5 a 10;oui;4;3;5;6;5,24
34;295;Homme;bac_5;classique;non;plus de 5;10 a 20;oui;4;0;3;5;4,19
26;245;Femme;bac_5;iphone;oui;plus de 5;20 a 50;non;4;1;6;0;3,14
65;40;Femme;bac_5;iphone;non;3 a 5;10 a 20;oui;4;4;6;4;3,14
24;51;Homme;bac_5;classique;oui;plus de 5;10 a 20;oui;5;3;4;6;4,19
25;304;Femme;bac_5;iphone;oui;plus de 5;20 a 50;oui;4;4;2;6;4,19
26;338;Homme;bac_5;iphone;oui;plus de 5;50 a 100;oui;4;1;5;6;4,19
26;456;Femme;bac_5;classique;non;plus de 5;5 a 10;oui;5;1;1;6;6,29
26;404;Femme;bac_5;iphone;oui;plus de 5;10 a 20;oui;6;4;4;4;6,29
38;363;Homme;bac_5;iphone;oui;plus de 5;moins de 5;oui;4;1;3;3;3,14
24;100;Femme;bac_5;blackberry;oui;plus de 5;5 a 10;non;4;0;5;5;3,14
23;48;Femme;bac_5;iphone;oui;plus de 5;20 a 50;oui;6;4;5;0;1,05
25;294;Femme;bac_5;iphone;oui;plus de 5;20 a 50;oui;6;3;4;5;4,19
28;354;Femme;bac_5;iphone;oui;plus de 5;20 a 50;non;6;1;3;6;8,38
52;63;Homme;bac_5;blackberry;oui;3 a 5;50 a 100;non;1;6;0;1;3,14
25;288;Femme;bac_5;iphone;oui;plus de 5;plus de 100;non;6;2;3;6;5,24
25;441;Homme;bac_5;iphone;oui;plus de 5;20 a 50;non;4;1;4;0;3,14
45;387;Homme;bac_5;iphone;oui;plus de 5;plus de 100;oui;5;4;3;6;4,19
27;83;Femme;bac_5;classique;non;plus de 5;moins de 5;oui;4;3;5;6;4,19
57;179;Femme;bac_5;iphone;oui;plus de 5;50 a 100;non;6;1;5;3;3,14
28;37;Femme;bac_5;iphone;oui;plus de 5;20 a 50;non;6;4;3;2;2,10
27;430;Homme;bac_5;classique;non;plus de 5;10 a 20;oui;6;4;1;0;3,14
23;493;Femme;bac_5;iphone;oui;3 a 5;5 a 10;oui;6;0;0;0;5,24
38;125;Femme;bac_5;blackberry;oui;moins de 1;20 a 50;non;6;1;6;6;5,24
29;72;Homme;bac_5;iphone;oui;plus de 5;moins de 5;oui;3;0;0;6;4,19
27;506;Femme;bac_5;classique;non;plus de 5;5 a 10;non;6;1;3;0;5,24
30;178;Femme;bac_5;classique;non;plus de 5;5 a 10;non;1;2;2;5;3,14
26;356;Homme;bac_5;classique;oui;plus de 5;5 a 10;non;6;2;5;4;4,19
45;139;Femme;bac_5;classique;oui;plus de 5;5 a 10;oui;6;5;6;0;8,38
25;415;Femme;bac_5;classique;non;plus de 5;10 a 20;non;3;2;1;4;4,19
26;487;Femme;bac_5;blackberry;oui;plus de 5;20 a 50;non;6;0;3;3;4,19
23;386;Femme;bac_5;iphone;oui;plus de 5;50 a 100;oui;6;1;6;0;3,14
34;168;Femme;bac_5;blackberry;oui;plus de 5;plus de 100;oui;6;3;4;5;4,19
24;155;Femme;bac_5;iphone;oui;plus de 5;20 a 50;oui;1;1;6;6;4,19
37;427;Femme;bac_5;iphone;oui;1 a 3;10 a 20;non;4;3;2;1;3,14
24;211;Homme;bac_5;iphone;oui;plus de 5;5 a 10;non;6;1;4;0;2,10
25;203;Homme;bac_5;classique;non;plus de 5;moins de 5;non;3;1;3;6;8,38
28;449;Femme;bac_8;iphone;oui;plus de 5;20 a 50;oui;5;0;4;6;3,14
35;260;Femme;bac_8;iphone;oui;plus de 5;10 a 20;oui;6;0;5;6;4,19
28;479;Homme;bac_8;iphone;oui;plus de 5;10 a 20;oui;6;0;5;3;4,19
27;284;Homme;bac_8;autre;oui;plus de 5;5 a 10;oui;6;2;4;5;11,52
25;163;Homme;bac_8;iphone;oui;plus de 5;20 a 50;oui;6;5;1;6;6,29
45;286;Homme;bac_8;classique;oui;plus de 5;5 a 10;non;4;2;0;4;0,00
52;122;Homme;bac_8;classique;non;3 a 5;moins de 5;oui;3;1;1;2;4,19
25;434;Femme;bac_8;iphone;oui;plus de 5;50 a 100;oui;6;1;2;3;8,38
33;231;Femme;bac_8;classique;non;plus de 5;moins de 5;non;5;2;5;6;6,29
53;190;Homme;bac_8;iphone;oui;plus de 5;5 a 10;oui;1;1;6;0;2,10
38;112;Femme;bac_8;iphone;oui;plus de 5;20 a 50;oui;5;0;5;3;5,24
