AGE;ID_NUM_TEL;SEXE;NIVEAU_SUPERIEUR_CHOIX;TYPE_TELEPHONE;ABONNEMENT_ILLIMITE;TEMPS_UTILISATION_SMS;ENVOI_SMS_SEMAINE;UTILISATION_T9;DESTINATAIRE_AMIS;DESTINATAIRE_COLLEGUES;DESTINATAIRE_FAMILLE;DESTINATAIRE_COMPAGNON;DUREE_LECTURE
16;218;Homme;lycee;classique;non;1 a 3;10 a 20;oui;6;5;2;0;4,19
15;418;Homme;lycee;classique;oui;moins de 1;20 a 50;non;6;0;1;0;1,05
15;296;Femme;lycee;iphone;non;1 a 3;10 a 20;non;6;1;3;0;4,19
17;411;Femme;lycee;classique;oui;3 a 5;plus de 100;oui;5;0;2;6;5,24
15;149;Femme;lycee;blackberry;oui;1 a 3;plus de 100;non;6;0;3;0;6,29
16;390;Homme;lycee;blackberry;oui;1 a 3;plus de 100;non;6;0;3;4;2,10
15;425;Femme;lycee;blackberry;oui;1 a 3;plus de 100;non;6;0;3;0;5,24
15;11;Femme;lycee;iphone;oui;3 a 5;plus de 100;oui;6;4;1;0;6,29
13;165;Femme;college;autre;oui;1 a 3;plus de 100;non;6;0;2;0;5,24
11;192;Femme;college;blackberry;oui;moins de 1;5 a 10;non;5;0;1;0;2,10
15;438;Femme;lycee;autre;oui;1 a 3;plus de 100;oui;6;3;1;1;3,14
17;279;Homme;lycee;blackberry;oui;1 a 3;plus de 100;oui;6;0;3;6;5,24
14;443;Homme;lycee;blackberry;oui;1 a 3;plus de 100;non;6;2;1;0;4,19
13;408;Homme;college;blackberry;oui;1 a 3;50 a 100;non;6;0;3;0;4,19
16;274;Femme;lycee;iphone;oui;1 a 3;plus de 100;oui;6;1;2;6;3,14
18;264;Homme;lycee;blackberry;oui;3 a 5;10 a 20;non;6;0;2;0;1,05
47;345;Femme;cap_bep;iphone;oui;plus de 5;10 a 20;oui;5;2;2;4;2,10
16;194;Homme;lycee;blackberry;oui;1 a 3;50 a 100;non;6;2;2;0;2,10
16;206;Homme;lycee;iphone;oui;1 a 3;plus de 100;oui;6;0;4;0;4,19
13;127;Homme;college;classique;oui;moins de 1;10 a 20;non;5;0;5;0;4,19
23;145;Homme;cap_bep;iphone;oui;plus de 5;20 a 50;non;3;3;2;5;6,29
16;350;Femme;lycee;classique;oui;plus de 5;plus de 100;non;5;3;4;6;3,14
15;105;Homme;lycee;iphone;oui;1 a 3;plus de 100;oui;5;5;2;6;4,19
14;161;Homme;college;iphone;oui;1 a 3;10 a 20;non;6;0;2;0;3,14
