,Femme,Homme,Age1
16h1,1,0,0
16h10,1,0,0
16h11,1,0,0
16h15,6,7,3
16h20,3,1,0
16h30,35,11,4
16h30min,1,0,0
16h34,1,0,0
16h35,5,0,0
16h40,0,3,3
16h45,10,3,1
16h50,3,1,1
16h55,1,0,0
16h57,1,0,0
16min,1,0,0
16min39,1,0,0
16nov,1,0,0
16octobre,1,0,0
17,87,20,17
170,5,1,0
17000,1,1,0
171,1,0,1
173,0,1,1
174,0,1,1
175,1,0,0
176,1,0,0
177,0,1,1
178,1,0,0
178km,1,0,1
179,1,0,0
1793,0,1,0
17ans,3,0,2
17h,95,30,13
17h00,1,1,0
17h05,0,1,0
17h08,1,0,0
17h10,3,2,1
17h13,1,0,0
17h14,1,0,0
17h15,21,2,0
17h16,1,0,0
17h20,1,0,0
17h21,0,1,0
17h25,3,0,1
17h30,39,11,12
17h35,1,4,4
17h40,2,0,1
17h41,1,0,0
17h45,11,8,1
17h50,4,1,1
17min,1,0,1
18,80,32,20
180,3,3,0
1800,0,1,0
182,1,0,0
1830,0,1,1
1850,1,0,0
1861,1,0,0
1877,1,0,1
188,1,0,0
1897,0,1,0
18ans,14,3,14
18e,1,0,0
18euros,1,0,0
18h,112,38,20
18h00,1,0,0
18h02,0,1,0
18h04,1,0,0
18h05,2,1,1
18h09,0,2,2
18h10,0,1,0
18h12,1,0,0
18h14,1,0,0
18h15,14,2,3
18h17,0,1,1
18h18,0,2,0
18h20,1,5,3
18h30,45,10,4
18h32,0,1,0
18h35,1,0,0
18h36,1,0,0
18h39,1,0,0
18h40,3,0,0
18h44,1,0,0
18h45,25,6,4
18h50,1,0,0
18heure,1,0,0
18kg,1,0,0
18m2,1,0,0
18q,1,0,0
18xd,1,0,1
19,55,20,11
190,1,0,0
1900,1,0,0
1918,1,0,1
1920,0,2,0
1945,1,0,0
1948,1,0,0
19500,1,0,0
1962,1,0,1
196kms,1,0,0
1973,1,0,0
1980,1,1,0
1986,1,0,0
1990,4,0,0
1991,1,0,0
19ans,1,0,0
19e,1,0,0
19eme,2,0,0
19euro,1,0,0
19h,91,48,13
19h00,0,1,0
19h02,1,0,0
19h05,0,1,0
19h06,1,0,0
19h08,0,1,1
19h10,0,1,0
19h12,1,0,0
19h15,12,4,1
19h20,5,0,0
19h25,1,0,0
19h27,1,0,0
19h30,69,17,11
19h33,1,0,0
19h3o,1,0,0
19h40,5,0,0
19h43,1,0,0
19h45,11,3,1
19h50,1,1,0
19h55,1,1,0
19h58,3,0,0
19jours,2,0,2
19novembre,0,1,0
19page,1,0,1
19ème,1,0,0
1_48,1,0,1
1a1,0,1,1
1an,12,1,2
1ans,1,0,0
1batterie,1,0,0
1bon,1,0,0
1bonne,1,0,0
1camion,1,0,0
1cig,1,0,0
1coup,3,0,0
1d,2,0,0
1dses,1,0,0
1e,10,0,2
1e60,1,0,1
1entreprise,1,0,0
1er,86,22,19
1ere,24,6,5
1eres,2,0,1
1ers,2,1,0
1et,1,0,1
1extra,1,0,0
1fois,5,0,0
1h,88,32,40
1h02,1,0,1
1h05,0,1,1
1h15,4,1,1
1h20,1,0,0
1h30,34,9,10
1h45,2,3,0
1h50,0,1,1
1heure,3,2,3
1janvie,1,0,1
1japonai,1,0,0
1japonais,1,0,0
1je,1,0,1
1jour,1,0,0
1km,2,2,2
1m,1,4,2
1m62,1,0,0
1m80,1,0,0
1min,5,4,5
1mm,1,0,0
1mn,1,0,0
1moi,1,0,1
1mois,10,0,4
1msg,1,0,1
1mètre,1,0,0
1ou,1,0,0
1page,0,1,1
1paquet,1,0,0
1partie,1,0,0
1peu,2,0,1
1ptite,0,1,0
1pull,1,0,1
1quart,1,0,0
1re,1,0,0
1réunion,1,0,0
1s,1,0,0
1sec,0,1,0
1seconde,0,1,0
1sem,2,0,0
1semaine,3,2,4
1sms,3,0,0
1td,1,0,0
1tram,0,1,0
1voiture,1,0,0
1x,1,0,0
1ère,25,7,11
1ères,3,0,0
1ères1,0,1,1
1é,4,0,2
1ére,1,0,0
20,126,74,41
200,22,8,8
2000,4,3,0
20000,2,0,0
2000euros,0,1,0
2001,0,1,1
2003,2,0,0
2004,1,2,2
2006,3,0,0
2007,3,1,1
2008,1,0,1
2009,6,0,1
200boules,0,1,0
200e,5,0,0
200mots,1,0,0
2010,6,3,1
2011,12,7,2
2012,10,4,0
2013,2,1,1
20408,0,1,1
20408122449,0,1,1
206,1,3,0
208,1,0,0
20_30,1,0,1
20aine,1,0,0
20ans,5,0,0
20b15,1,0,0
20c,1,0,1
20cv,1,0,0
20e,8,0,1
20euro,0,1,1
20euros,2,1,0
20h,84,39,9
20h00,2,0,0
20h05,2,0,1
20h07,1,0,0
20h10,0,1,0
20h15,17,9,2
20h20,3,0,0
20h30,47,17,6
20h35,2,1,0
20h36,1,0,1
20h40,2,0,0
20h44,1,0,1
20h45,6,3,1
20h50,2,1,3
20heure15,1,0,0
20hon,1,0,0
20jours,1,0,0
20km,1,0,0
20min,27,3,8
20minutes,2,1,2
20mn,4,1,1
20p,3,0,0
20p38,1,0,0
20pages,1,0,0
20personnes,1,0,0
20s,1,0,0
20sec,1,0,0
20stp,1,0,1
20vrai,1,0,0
20x33cl,0,1,0
20θe,0,1,0
21,51,11,11
211,1,1,1
212,0,1,0
216,1,0,0
217,1,0,0
218euros,1,0,0
21ans,1,0,0
21h,43,26,17
21h00,1,0,0
21h05,0,1,0
21h15,11,3,1
21h15stp,1,0,1
21h20,1,0,0
21h28,1,0,0
21h30,13,8,3
21h30max,1,0,1
21h33,1,0,0
21h40,1,0,1
